xDLNMID,xtEIND,xtConditi,nQ1,iQ2,nQ3,nQ4,iQ5,nQ6,nQ7,nQ8,nQ9,nQ10,mQ11_1,mQ11_2,mQ11_3,mQ11_4,mQ11_5,mQ11_6,mQ11_7,mQ11_8,mQ11_9,mQ11_10,mQ11_11,mQ11_12,mQ11_13,mQ11_99999997,mQ12_1,mQ12_2,mQ12_3,mQ12_4,mQ12_5,mQ12_6,mQ12_7,mQ12_8,mQ12_9,mQ12_10,mQ12_11,mQ12_12,mQ12_13,mQ12_14,mQ12_99999997,mQ13_1,mQ13_2,mQ13_3,mQ13_4,mQ13_5,mQ13_6,mQ13_7,mQ13_8,mQ13_9,mQ13_10,mQ13_11,mQ13_12,mQ13_13,mQ13_14,mQ13_15,mQ13_16,mQ13_99999997,iQ14,nQ15,nQ16,iQ17,iQ18_1,iQ18_2,iQ18_3,iQ18_4,iQ18_5,iQ18_6,iQ18_7,iQ18_8,iQ18_9,iQ18_10,iQ18_11,iQ18_12,iQ18_13,iQ18_14,iQ18_15,iQ18_16,iQ18_17,iQ18_18,iQ18_19,iQ18_20,iQ18_21,iQ18_22,iQ18_23,nQ19,iQ20,iQ21,nQ22,iQ23,nQ24,xAge,nAgeCat,nGender,xHighLevEdu,nEduLev,xIncome,nIncCat,nProv,nRegion,nShoopResp,wwighfact,nGen,nAg,nEdu,nReg
288152252,11/24/2019 21:19:26,Qualified,D66,Neither/nor,1 car,No,No people,Myself,5.000-9.999,10-19 km,Several times biannually,Own driveway/carport/garage,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Totally agree,No,"If I had an EV, it would be my only car",Neutral,Mostly disagree,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,Mostly disagree,I don't know,I don't know,Totally agree,I don't know,Neutral,Totally disagree,I don't know,Totally agree,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,"Family, friends, colleagues",More negative,More positive,1 person,No people,€19.999 or less,54,45 - 54,Man,"Master HBO/WO, post-doctoral",High,Almost average,Below average,Noord-Holland,West,Myself,1.49101505325293,Man,50 - 59,High,West
288152255,11/25/2019 15:03:00,Qualified,VVD,Very likely,1 car,No,No people,Myself,10.000-19.999,40-49 km,2-4 times per month,Own driveway/carport/garage,Mentioned,Not Mentioned,Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Totally disagree,No,I would never buy an EV,Bad,Neutral,Neutral,Neutral,Totally disagree,Totally agree,Totally agree,Mostly disagree,Mostly agree,Neutral,Neutral,Totally agree,Totally agree,Totally agree,Neutral,Totally agree,Totally agree,Neutral,Totally disagree,Neutral,Totally agree,Totally agree,Totally agree,Neutral,Car dealer(s),Did not change,Did not change,1 person,No people,€20.000 - €34.999,49,35 - 44,Man,Bachelor HBO/WO,High,Below average,Below average,Zuid-Holland,West,Myself,1.89439561637366,Man,40 - 49,High,West
288152263,11/27/2019 9:23:19,Qualified,Green Left,Very unlikely,0 cars,I don't know,1 person,Equally shared in decision makings,Less than 1.000 km,Less than 10 km,Rare/never,Own driveway/carport/garage,Mentioned,Mentioned,Not Mentioned,Mentioned,Mentioned,Not Mentioned,Mentioned,Mentioned,Not Mentioned,Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Totally agree,No,I don't know,Good,Mostly disagree,Mostly disagree,Neutral,Mostly disagree,I don't know,I don't know,Mostly disagree,Totally disagree,Mostly disagree,Neutral,Neutral,Mostly agree,Mostly disagree,Mostly disagree,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,Mostly agree,Official governmental websites,More negative,More positive,3 people or more,No people,I'd rather not say,20,18 - 24,Woman,Havo/VWO,Middle,Don't know,Unknown,Groningen,North,Myself,.813823716895753,Woman,18 - 29,Middle,North
288152267,11/23/2019 11:17:15,Qualified,VVD,Likely,1 car,No,2 people,Myself,30.000-39.999,100-199 km,1-3 times per week,Public road,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,I don't know,Yes,I would never buy an EV,Bad,I don't know,I don't know,I don't know,Mostly agree,Mostly agree,Totally agree,Totally agree,Totally agree,I don't know,Totally agree,I don't know,I don't know,I don't know,Totally disagree,I don't know,I don't know,I don't know,I don't know,I don't know,Totally agree,Neutral,Mostly agree,Mostly agree,"Family, friends, colleagues",Did not change,Did not change,1 person,2 people,€35.000 - €49.999,50,45 - 54,Woman,"Master HBO/WO, post-doctoral",High,Almost average,Below average,Noord-Brabant,South,Myself,1.59986061682058,Woman,50 - 59,High,South
288152270,11/24/2019 10:50:12,Qualified,VVD,Likely,1 car,No,2 people,Equally shared in decision makings,5.000-9.999,Less than 10 km,1 time biannually,Own driveway/carport/garage,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Totally disagree,No,"If I had an EV, it would be my only car",Good,Neutral,Neutral,Neutral,Mostly agree,Mostly agree,Neutral,Mostly agree,Mostly agree,Mostly disagree,Neutral,Neutral,Totally agree,Totally agree,Neutral,Neutral,Mostly agree,Neutral,Neutral,Mostly agree,Totally agree,Mostly agree,Mostly agree,Totally agree,"Organisations like ADAC (DE), FDM (DK), Magyar Autoklub (HU), ANWB (NL), NAF or Norsk Elbilforening (NO)",More positive,More negative,2 people,2 people,€80.000 - €94.999,35,25 - 34,Man,"MBO-2,-3,-4/MBO vbefore 1998",Middle,2 times average,Above average,Gelderland,East,Both in equal measure,1.35464826604988,Man,30 - 39,Middle,East
288152274,11/24/2019 11:53:13,Qualified,CDA,Very likely,1 car,"Yes, electric car(s)",1 person,Myself,20.000-29.999,50-99 km,1-3 times per week,Own driveway/carport/garage,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Totally agree,Yes,"If I had an EV, it would be my only car",Good,Totally disagree,Neutral,Mostly disagree,Totally disagree,Neutral,Mostly agree,Mostly disagree,Mostly agree,Mostly agree,Neutral,Mostly agree,Mostly disagree,Mostly agree,Mostly disagree,Neutral,Mostly agree,Mostly disagree,Mostly agree,Neutral,Mostly agree,Mostly agree,Neutral,Neutral,Car manufacturer(s),More positive,More positive,2 people,2 people,€35.000 - €49.999,37,25 - 34,Man,"MBO-2,-3,-4/MBO vbefore 1998",Middle,Average,Average,Gelderland,East,Myself,1.5111548774529,Man,30 - 39,Middle,East
288152276,11/25/2019 23:30:41,Qualified,PVV,Neither/nor,1 car,No,No people,Equally shared in decision makings,1.000-4.9999,Less than 10 km,Rare/never,Public road,Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Neutral,No,I would never buy an EV,Neutral,Neutral,Mostly agree,Mostly agree,Mostly agree,Mostly agree,Neutral,I don't know,I don't know,I don't know,I don't know,Neutral,Neutral,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,Totally agree,Mostly agree,Mostly agree,Mostly agree,"Another source, not mentioned in this list",Did not change,More negative,2 people,No people,€19.999 or less,57,45 - 54,Woman,VMBO (professionally-oriented)/MBO-1,Low,Below average,Below average,Gelderland,East,Myself,.865229237684108,Woman,50 - 59,Low,East
288152277,11/26/2019 18:00:12,Qualified,Did not vote,I don't know,1 car,No,No people,Other(s) in the household,I don't know,I don't know,Rare/never,Own parking space in  shared common area,Mentioned,Not Mentioned,Not Mentioned,Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Totally agree,No,"If I had an EV, it would be my only car",I don't know,Mostly disagree,Mostly disagree,I don't know,Mostly agree,Mostly agree,Mostly agree,Mostly agree,Neutral,Mostly disagree,I don't know,Mostly agree,Neutral,I don't know,Mostly disagree,I don't know,I don't know,Neutral,Neutral,Neutral,Neutral,I don't know,I don't know,I don't know,Car manufacturer(s),Did not change,Did not change,2 people,No people,I'd rather not say,21,18 - 24,Woman,VMBO (theoretical/mixed)/Mavo,Middle,Prefer not to say,Unknown,Zuid-Holland,West,Both in equal measure,1.0237662692498,Woman,18 - 29,Middle,West
288152298,11/25/2019 23:24:04,Qualified,PvdA,Likely,1 car,No,1 person,Myself,Less than 1.000 km,Less than 10 km,4-5 times per week or more often,Parking in shared common area without individual parking space,Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Mentioned,Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Mentioned,Mentioned,Not Mentioned,Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mostly agree,No,"If I had an EV, it would be my only car",Very good,Totally agree,Neutral,Mostly agree,Mostly agree,Mostly agree,Mostly agree,Mostly agree,Mostly agree,Mostly agree,Mostly agree,Mostly agree,Mostly agree,Mostly agree,Mostly agree,Mostly agree,Mostly agree,Mostly agree,Mostly agree,Mostly agree,Mostly agree,Mostly agree,Mostly agree,Mostly agree,Car manufacturer(s),More positive,More positive,1 person,2 people,€19.999 or less,47,35 - 44,Woman,Primary school,Low,Minimum,Below average,Utrecht,West,Myself,.756660715794589,Woman,40 - 49,Low,West
288152299,11/24/2019 19:42:51,Qualified,Green Left,Unlikely,1 car,No,No people,Myself,10.000-19.999,30-39 km,Several times biannually,Public road,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mostly agree,Yes,"If I had an EV, it would be my only car",Good,Mostly disagree,Mostly disagree,Neutral,Mostly disagree,Mostly disagree,Mostly disagree,Mostly agree,Mostly agree,Mostly disagree,Mostly disagree,Mostly agree,Neutral,Mostly agree,Mostly disagree,Mostly disagree,Mostly disagree,Neutral,Mostly agree,Mostly disagree,Mostly agree,Mostly disagree,Mostly disagree,Mostly disagree,"Newsarticles (newspapers, tv and websites)",More positive,More positive,2 people,No people,€35.000 - €49.999,43,35 - 44,Man,"MBO-2,-3,-4/MBO vbefore 1998",Middle,Almost average,Below average,Zuid-Holland,West,Both in equal measure,.861060556757851,Man,40 - 49,Middle,West
288152303,11/26/2019 14:42:03,Qualified,Other party,Unlikely,1 car,"Yes, electric car(s)",1 person,Equally shared in decision makings,10.000-19.999,50-99 km,1 time per month,Public road,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mostly agree,Yes,"If I had an EV, it would be my only car",Neutral,Neutral,Totally agree,Mostly agree,Mostly disagree,Neutral,Mostly agree,Neutral,Mostly agree,Neutral,Mostly agree,Mostly disagree,Neutral,Mostly disagree,Mostly agree,Neutral,Mostly disagree,Totally disagree,Neutral,Totally agree,Mostly agree,Mostly agree,Mostly agree,Mostly disagree,"Organisations like ADAC (DE), FDM (DK), Magyar Autoklub (HU), ANWB (NL), NAF or Norsk Elbilforening (NO)",More positive,More positive,2 people,2 people,€80.000 - €94.999,38,25 - 34,Man,Havo/VWO,Middle,Between 1 and 2 times average,Above average,Zuid-Holland,West,Myself,.445888435115224,Man,30 - 39,Middle,West
288152312,11/25/2019 16:30:35,Qualified,Christian Union,Very unlikely,0 cars,No,No people,Myself,I don't know,I don't know,Rare/never,Other,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,I don't know,No,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,"Family, friends, colleagues",Did not change,Did not change,1 person,No people,€19.999 or less,49,35 - 44,Woman,"MBO-2,-3,-4/MBO vbefore 1998",Middle,Below average,Below average,Groningen,North,Myself,.656864535843451,Woman,40 - 49,Middle,North
288152315,11/25/2019 18:29:13,Qualified,D66,Very likely,2 cars,"Yes, plug-in hybrid car(s)",4 people or more,Myself,20.000-29.999,100-199 km,1-3 times per week,Own driveway/carport/garage,Not Mentioned,Mentioned,Mentioned,Mentioned,Not Mentioned,Not Mentioned,Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Mentioned,Mentioned,Mentioned,Not Mentioned,Not Mentioned,Mentioned,Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Mentioned,Mentioned,Mentioned,Not Mentioned,Mentioned,Not Mentioned,Mentioned,Mentioned,Mentioned,Mentioned,Mentioned,Not Mentioned,Not Mentioned,Mostly agree,No,"If I had an EV, it would be a supplement to a petrol or diesel car",Good,Mostly disagree,Mostly disagree,Mostly disagree,Mostly disagree,Mostly disagree,Mostly disagree,Totally agree,Mostly agree,Mostly disagree,Mostly disagree,Mostly disagree,Mostly agree,Mostly disagree,Totally disagree,Mostly agree,Mostly agree,Mostly disagree,Mostly agree,Mostly disagree,Mostly agree,Mostly agree,Mostly agree,Mostly agree,Car manufacturer(s),More negative,More positive,3 people or more,1 person,€50.000 - €64.999,56,45 - 54,Man,"MBO-2,-3,-4/MBO vbefore 1998",Middle,Between 1 and 2 times average,Above average,Overijssel,East,My partner,1.01760891567998,Man,50 - 59,Middle,East
288152319,11/24/2019 12:57:45,Qualified,VVD,Neither/nor,1 car,No,No people,Equally shared in decision makings,10.000-19.999,50-99 km,Rare/never,Own driveway/carport/garage,Not Mentioned,Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mostly agree,No,"If I had an EV, it would be my only car",Good,Mostly disagree,I don't know,I don't know,Neutral,Neutral,Mostly agree,Mostly agree,Mostly agree,Mostly disagree,Mostly agree,Mostly agree,Mostly agree,Mostly agree,Mostly disagree,Totally agree,Mostly agree,Mostly agree,Mostly agree,Mostly disagree,Totally agree,Neutral,Totally agree,Totally agree,"Newsarticles (newspapers, tv and websites)",Did not change,Did not change,2 people,No people,€50.000 - €64.999,57,45 - 54,Man,Havo/VWO,Middle,Between 1 and 2 times average,Above average,Gelderland,East,Both in equal measure,1.11397466998732,Man,50 - 59,Middle,East
288152321,11/25/2019 14:51:28,Qualified,50Plus,Neither/nor,1 car,No,No people,Myself,10.000-19.999,50-99 km,2-4 times per month,Public road,Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,I don't know,No,I don't know,Neutral,Mostly agree,I don't know,Neutral,Mostly agree,I don't know,Mostly agree,Neutral,Neutral,Mostly disagree,Mostly agree,I don't know,Mostly agree,Mostly agree,Neutral,Mostly agree,Mostly agree,Neutral,Mostly agree,Mostly agree,Totally agree,Neutral,Totally agree,Mostly agree,"Newsarticles (newspapers, tv and websites)",Did not change,Did not change,2 people,No people,I'd rather not say,69,55 - 70,Man,No education,Low,Prefer not to say,Unknown,Noord-Holland,West,Both in equal measure,.440941299378873,Man,60 - 70,Low,West
288152324,11/23/2019 21:18:30,Qualified,SGP,Likely,1 car,No,No people,Equally shared in decision makings,5.000-9.999,10-19 km,1 time biannually,Public road,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Neutral,No,I don't know,I don't know,Neutral,Neutral,Mostly agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Car dealer(s),Did not change,Did not change,2 people,1 person,€50.000 - €64.999,47,35 - 44,Woman,VMBO (theoretical/mixed)/Mavo,Middle,Between 1 and 2 times average,Above average,Zuid-Holland,West,Both in equal measure,.518451492514686,Woman,40 - 49,Middle,West
288152325,11/23/2019 16:06:12,Qualified,Did not vote,Likely,2 cars,No,No people,Myself,10.000-19.999,50-99 km,Several times biannually,Public road,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Mostly agree,No,I don't know,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,"Organisations like ADAC (DE), FDM (DK), Magyar Autoklub (HU), ANWB (NL), NAF or Norsk Elbilforening (NO)",Did not change,Did not change,3 people or more,No people,€20.000 - €34.999,54,45 - 54,Woman,"MBO-2,-3,-4/MBO vbefore 1998",Middle,Almost average,Below average,Zuid-Holland,West,Myself,.962420122304346,Woman,50 - 59,Middle,West
288152333,11/28/2019 16:30:24,Qualified,PvdA,Very likely,1 car,No,1 person,Equally shared in decision makings,10.000-19.999,10-19 km,1 time per month,Own parking space in  shared common area,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Mostly agree,No,I don't know,Neutral,Neutral,Neutral,Neutral,Mostly disagree,I don't know,I don't know,Neutral,Neutral,Neutral,Neutral,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,Neutral,Neutral,Neutral,Neutral,I don't know,I don't know,I don't know,Car dealer(s),Did not change,Did not change,2 people,No people,I'd rather not say,27,18 - 24,Woman,Bachelor HBO/WO,High,Prefer not to say,Unknown,Zuid-Holland,3 large municipalities,Myself,.490041096196999,Woman,18 - 29,High,3 large municipalities
