NMID,tEND,tConditi,Country,Gender,RegionGermany,PunchRegionGermany,RegionHungary,PunchRegionHungary,RegionNorway,PunchRegionNorway,RegionDenmark,EducationGermany,EducationHungary,EducationNorway,EducationDenmark,Edu,PoliticsGermany,PoliticsGermanyt,PoliticsHungary,PoliticsHungaryt,PoliticsNorway,PoliticsDenmark,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q11_10,Q11_11,Q11_12,Q11_13,Q11_99999997,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q12_9,Q12_10,Q12_11,Q12_12,Q12_13,Q12_14,Q12_99999997,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q13_7,Q13_8,Q13_9,Q13_10,Q13_11,Q13_12,Q13_13,Q13_14,Q13_15,Q13_16,Q13_99999997,Q14,Q15,Q16,Q17,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q18_6,Q18_7,Q18_8,Q18_9,Q18_10,Q18_11,Q18_12,Q18_13,Q18_14,Q18_15,Q18_16,Q18_17,Q18_18,Q18_19,Q18_20,Q18_21,Q18_22,Q18_23,Q19,Q20,Q21,Q16a,Q16b,Q16bt,Price,Q22,Q23,Q24,lft,Lftcat,wgrim
297288501,5/3/2020,1,6,2,7,1, , , , , ,5, , , ,2,2,0, , , , ,1,4,4,1,3,4,2,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,3,2,2,2,4,4,5,2,4,2,2,4,4,99999997,2,1,2,3,2,2,3,1,99999997,1,2,99999997,99999997,2,4,3,3,2,0,15000,3,1,3,44,3,1.09010278560281
297288502,5/3/2020,1,6,2,1,5, , , , , ,3, , , ,2,1,0, , , , ,1,2,4,1,1,5,3,3,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4,1,1,4,4,4,4,4,4,2,2,1,4,2,2,1,1,3,3,99999997,4,1,99999997,1,99999997,2,1,3,3,3,3,3,0,15000,2,1,2,47,4,1.05737989168688
297288503,5/3/2020,1,6,1,15,2, , , , , ,5, , , ,2,3,0, , , , ,2,2,4,1,3,5,2,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,2,3,2,2,2,3,2,2,2,3,4,4,2,2,1,2,2,1,2,3,1,2,1,3,1,1,1,2,4,3,2,0,15000,2,1,2,67,5,.641613216801418
297288504,5/3/2020,1,6,2,2,5, , , , , ,5, , , ,2,7,0, , , , ,1,2,4,1,1,5,4,3,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,2,3,5,99999997,1,99999997,99999997,1,1,99999997,1,1,5,99999997,1,1,5,1,1,1,1,1,1,1,1,1,5,1,5,5,6,0,45000,2,1,3,44,3,.783030324362412
297288506,5/3/2020,1,6,1,10,4, , , , , ,5, , , ,2,5,0, , , , ,1,3,4,2,1,4,2,5,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,3,2,2,2,5,5,5,4,4,3,3,4,4,3,3,2,2,3,2,2,4,2,4,1,3,3,1,8,3,3,3,2,0,15000,2,2,5,43,3,.70319993804589
297288507,5/3/2020,1,6,1,10,4, , , , , ,2, , , ,1,2,0, , , , ,2,2,4,3,1,3,1,3,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,3,2,1,2,3,3,3,3,2,2,2,3,4,3,3,2,2,3,2,2,2,2,99999997,1,2,99999997,2,3,2,3,3,1,0,15000,2,1,2,64,5,1.40749983748053
297288508,5/3/2020,1,6,1,13,3, , , , , ,3, , , ,2,1,0, , , , ,2,2,4,1,1,5,6,3,3,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0,1,2,1,2,3,3,4,2,3,4,1,2,2,1,1,2,2,3,3,3,2,3,2,3,3,3,1,3,3,3,5,2,0,45000,2,2,4,33,2,1.08579136804063
297288509,5/3/2020,1,6,2,7,1, , , , , ,5, , , ,2,6,0, , , , ,1,2,4,1,3,4,1,7,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,99999997,2,99999997,3,3,3,99999997,99999997,2,99999997,99999997,4,99999997,99999997,2,99999997,1,99999997,1,99999997,99999997,2,99999997,1,99999997,1,2,2,3,3,3,6,0,15000,2,1,2,55,5,.391928612512635
297288510,5/3/2020,1,6,1,1,5, , , , , ,2, , , ,1,9,0, , , , ,99999997,1,4,2,1,99999997,99999997,99999997,2,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,3,2,3,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,2,3,3,99999997, , , ,2,1,99999997,69,5,1.01904401899381
297288511,5/3/2020,1,6,2,10,4, , , , , ,8, , , ,3,5,0, , , , ,1,2,4,1,1,5,6,5,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,5,2,1,5,4,4,4,3,3,3,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,5,4,0,45000,1,1,2,62,5,.763190227693789
297288512,5/3/2020,1,6,1,10,4, , , , , ,8, , , ,3,1,0, , , , ,1,2,4,2,1,4,5,5,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,99999997,99999997,2,2,4,2,2,2,3,3,2,2,3,3,3,2,2,3,3,3,2,2,2,2,3,3,4,3,3,5,6,0,45000,1,1,4,36,3,1.3467995576492
297288513,5/3/2020,1,6,2,1,5, , , , , ,5, , , ,2,4,0, , , , ,1,2,4,2,1,4,3,6,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,2,2,1,2,3,4,4,4,2,1,1,3,4,3,1,1,3,4,2,2,4,1,3,1,2,2,2,2,3,3,1,99999996,Coupé,4000,1,1,2,47,4,.84333906794091
297288514,5/3/2020,1,6,2,2,5, , , , , ,5, , , ,2,7,0, , , , ,1,3,3,2,1,6,6,3,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,3,1,1,1,1,1,4,1,1,2,4,4,4,4,2,2,5,5,2,2,4,3,2,2,3,2,2,1,2,2,6,3,0,75000,2,4,5,40,3,.783030324362412
297288515,5/3/2020,1,6,2,2,5, , , , , ,3, , , ,2,9,0, , , , ,1,3,4,1,3,5,4,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999997,2,3,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,4,1,3,3,1,0,15000,2,1,5,61,5,.973052156537473
297288516,5/3/2020,1,6,1,1,5, , , , , ,2, , , ,1,9,0, , , , ,4,2,4,1,3,99999997,1,8,3,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,1,2,1,99999997,5,5,99999997,3,99999997,4,99999997,99999997,3,99999997,99999997,4,99999997,5,99999997,2,99999997,2,99999997,99999997,99999997,99999997,99999997,1,3,3,3,1,0,15000,3,1,99999997,27,2,.944099135079298
297288517,5/3/2020,1,6,1,9,2, , , , , ,3, , , ,2,2,0, , , , ,1,3,4,2,1,4,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,3,2,2,4,4,3,3,3,3,4,1,1,3,3,2,1,1,2,1,2,2,1,3,1,1,3,2,3,3,2,7,4,0,110000,2,1,7,62,5,1.09216017413092
297288518,5/3/2020,1,6,1,2,5, , , , , ,8, , , ,3,6,0, , , , ,1,3,4,2,1,5,4,3,2,0,0,0,1,1,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,2,4,4,5,3,2,99999997,2,2,2,2,4,1,2,1,2,2,2,1,1,4,99999997,4,99999997,2,4,3,2,2,2,0,7500,2,1,8,44,3,.425125875587701
297288519,5/3/2020,1,6,2,13,3, , , , , ,7, , , ,3,1,0, , , , ,1,3,4,1,3,5,6,3,4,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,3,2,2,2,4,99999997,99999997,4,99999997,2,2,99999997,99999997,4,1,2,1,2,2,99999997,99999997,2,99999997,2,99999997,99999997,1,2,3,3,3,1,0,15000,3,5,3,38,3,1.00517671122932
297288520,5/3/2020,1,6,1,11,4, , , , , ,4, , , ,2,3,0, , , , ,3,2,2,1,1,4,4,1,4,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,3,3,3,2,2,3,3,4,2,2,3,2,3,3,3,3,1,2,4,2,2,3,3,3,4,3,3,5,3,0,45000,1,1,3,39,3,.798903336715284
297288521,5/3/2020,1,6,2,13,3, , , , , ,1, , , ,1,9,0, , , , ,4,1,4,99999997,99999997,99999997,99999997,99999997,99999997,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99999997,2,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,8,3,4,99999997, , , ,2,1,99999997,31,2,.754632111303606
297288522,5/3/2020,1,6,1,1,5, , , , , ,2, , , ,1,2,0, , , , ,1,2,4,2,1,6,6,3,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,3,1,1,2,2,3,99999997,4,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,2,2,2,4,2,2,2,2,2,99999997,4,3,3,5,5,0,45000,1,1,4,54,4,1.15153755906205
297288523,5/3/2020,1,6,2,15,2, , , , , ,2, , , ,1,5,0, , , , ,5,1,4,1,2,99999997,99999997,99999997,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,2,3,99999997,99999997,3,3,2,1,99999997,99999997,99999997,99999997,99999997,2,3,3,3,3,3,1,1,1,3,3,1,1,4,3,3,99999997, , , ,1,1,3,58,5,.438303616096972
297288524,5/3/2020,1,6,1,10,4, , , , , ,5, , , ,2,5,0, , , , ,1,2,1,4,1,3,7,1,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,2,1,1,2,3,4,3,4,4,4,3,3,3,3,3,2,3,3,2,2,2,2,3,3,3,2,3,4,2,2,5,2,0,45000,2,3,2,49,4,.75680229069102
297288525,5/3/2020,1,6,2,2,5, , , , , ,6, , , ,3,6,0, , , , ,2,2,2,3,2,5,6,3,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,2,1,2,2,2,2,4,4,4,3,1,3,4,2,3,4,2,1,1,3,4,3,2,2,3,1,4,6,2,1,5,2,0,45000,2,1,3,32,2,.378930710698214
297288526,5/3/2020,1,6,1,9,2, , , , , ,4, , , ,2,1,0, , , , ,1,2,2,2,1,2,3,6,1,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,5,4,4,5,3,3,4,4,4,4,4,4,3,5,4,3,3,2,2,2,4,4,4,1,4,1,4,4,0,25000,1,1,1,62,5,.984945757235807
297288527,5/3/2020,1,6,1,3,3, , , , , ,5, , , ,2,3,0, , , , ,1,2,4,1,1,4,7,3,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,2,3,5,1,1,1,3,1,1,1,1,1,3,1,3,3,5,1,1,1,1,1,1,1,1,1,3,3,3,4,5,0,25000,2,3,3,49,4,.715702017248417
297288528,5/3/2020,1,6,2,10,4, , , , , ,5, , , ,2,1,0, , , , ,1,2,2,3,1,8,8,2,2,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,5,4,3,2,4,3,3,4,4,1,2,1,1,2,2,3,1,1,3,1,2,3,2,4,3,2,5,6,0,45000,2,3,3,42,3,1.09960905627883
297288529,5/3/2020,1,6,2,1,5, , , , , ,2, , , ,1,1,0, , , , ,1,3,2,2,1,3,4,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,1,4,4,2,4,3,1,4,1,4,1,5,4,2,5,1,3,1,1,2,5,1,3,2,2,1,4,2,0,25000,2,3,5,25,2,.86008769908741
297288530,5/3/2020,1,6,2,8,2, , , , , ,8, , , ,3,4,0, , , , ,5,1,4,1,99999997,2,1,5,4,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,2,3,5,99999997,2,1,3,1,1,99999997,99999997,99999997,99999997,5,1,2,99999997,99999997,99999997,99999997,2,99999997,99999997,99999997,1,1,3,3,5,9, , , ,1,1,3,33,2,.669794194816485
297288531,5/3/2020,1,6,2,1,5, , , , , ,4, , , ,2,99999997,0, , , , ,3,2,4,2,1,4,3,8,2,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,3,2,1,3,3,3,3,4,3,2,3,2,3,3,2,1,2,3,2,2,2,2,2,2,2,2,2,4,3,3,9, , , ,1,1,99999997,44,3,.882789016373371
297288532,5/3/2020,1,6,2,1,5, , , , , ,5, , , ,2,3,0, , , , ,1,3,4,1,3,4,5,6,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,4,1,3,4,3,4,2,5,2,2,5,1,1,2,2,1,1,1,1,1,2,1,1,1,3,1,1,2,2,4,4,2,0,25000,2,1,7,49,4,.688798249753698
297288533,5/3/2020,1,6,1,10,4, , , , , ,3, , , ,2,2,0, , , , ,1,2,4,1,3,4,6,6,2,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,2,2,1,2,3,4,5,2,5,2,1,5,5,1,1,2,2,5,1,3,4,1,3,1,3,2,1,1,3,3,5,3,0,45000,2,1,6,64,5,1.56121012529702
297288534,5/3/2020,1,6,1,16,1, , , , , ,1, , , ,1,3,0, , , , ,3,3,4,1,3,4,2,6,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,6,0,25000,2,2,2,40,3,.643926574439449
297288535,5/3/2020,1,6,1,1,5, , , , , ,8, , , ,3,6,0, , , , ,1,4,4,2,1,7,4,4,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,2,2,2,5,5,4,4,4,3,5,3,4,1,2,2,2,2,2,4,2,2,4,2,4,3,4,1,2,2,5,5,0,45000,3,1,7,58,5,.488058217365846
297288536,5/3/2020,1,6,2,6,2, , , , , ,6, , , ,3,5,0, , , , ,2,2,1,2,1,8,4,3,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,3,3,4,4,4,5,5,5,3,4,5,4,4,3,5,4,3,3,4,4,3,4,4,4,3,4,3,5,3,0,45000,1,2,2,25,2,.481521610849114
297288537,5/3/2020,1,6,1,2,5, , , , , ,2, , , ,1,1,0, , , , ,2,4,4,1,1,4,8,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,3,2,2,3,2,2,2,3,2,2,3,3,5,2,3,2,2,2,3,3,3,2,2,2,2,2,2,4,3,5,4,5,0,25000,3,2,99999997,31,2,1.02631155086095
297288538,5/3/2020,1,6,2,9,2, , , , , ,4, , , ,2,6,0, , , , ,1,3,4,2,2,5,2,5,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,2,2,1,2,4,4,3,2,3,2,3,2,2,3,3,3,2,4,2,2,4,3,3,2,3,3,4,5,2,2,2,1,0,7500,2,1,2,23,1,.337156042376723
297288539,5/3/2020,1,6,1,14,3, , , , , ,5, , , ,2,5,0, , , , ,1,2,1,1,1,4,99999997,99999997,2,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,6,3,0,75000,2,1,3,48,4,.629965592905975
297288540,5/3/2020,1,6,2,2,5, , , , , ,7, , , ,3,6,0, , , , ,2,3,4,1,3,4,2,5,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,3,2,99999997,4,3,99999997,4,5,99999997,1,2,1,2,2,1,1,2,2,2,1,99999997,1,3,1,99999997,1,1,8,3,3,4,2,0,25000,2,1,7,59,5,.420147514397111
297288541,5/3/2020,1,6,1,11,4, , , , , ,1, , , ,1,4,0, , , , ,1,3,2,3,1,1,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,4,4,4,5,5,2,3,4,1,2,2,3,3,4,2,2,3,2,2,2,2,2,1,1,1,2,1,1,0,4000,1,1,1,20,1,1.07518386917121
297288542,5/3/2020,1,6,2,16,1, , , , , ,5, , , ,2,6,0, , , , ,1,2,4,1,1,3,2,5,3,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,1,2,4,4,4,4,4,4,4,5,4,4,3,3,2,4,3,2,3,2,3,1,4,3,2,7,3,3,3,6,0,15000,1,2,2,39,3,.355572177713256
297288543,5/3/2020,1,6,1,2,5, , , , , ,3, , , ,2,3,0, , , , ,1,3,4,1,1,8,7,2,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,2,5,3,4,3,3,2,1,1,1,3,1,2,4,1,2,1,1,2,1,1,1,1,1,1,5,2,3,5,2,0,45000,2,1,5,38,3,.697227430881759
297288544,5/3/2020,1,6,2,13,3, , , , , ,4, , , ,2,99999997,0, , , , ,3,1,4,1,1,99999997,99999997,8,99999997,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,99999997,2,99999997,99999997,3,3,3,4,3,99999997,99999997,99999997,99999997,99999997,99999997,99999997,4,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,8,5,3,1,99999997,0, ,1,1,1,52,4,.927734254263012
297288547,5/3/2020,1,6,1,13,3, , , , , ,5, , , ,2,3,0, , , , ,1,2,4,2,1,5,3,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,1,1,1,1,0,0,0,1,1,1,2,5,5,5,5,5,3,3,1,5,5,2,1,1,3,1,4,4,1,3,1,5,2,5,5,3,2,5,6,0,45000,2,1,4,66,5,.763453722663014
297288548,5/3/2020,1,6,1,10,4, , , , , ,8, , , ,3,4,0, , , , ,1,2,4,2,1,4,5,3,2,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,2,2,1,3,4,4,4,4,5,3,2,5,4,3,3,99999997,3,4,1,4,3,2,4,2,3,4,2,1,3,2,5,2,0,45000,1,1,99999997,47,4,1.15605301766104
297288549,5/3/2020,1,6,1,10,4, , , , , ,8, , , ,3,6,0, , , , ,1,2,4,2,3,3,2,5,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,2,1,1,2,3,3,4,4,3,2,2,3,3,3,2,2,2,3,2,2,4,2,3,2,2,2,2,4,2,2,4,6,0,25000,2,1,5,66,5,.559231207917022
297288550,5/3/2020,1,6,1,2,5, , , , , ,8, , , ,3,7,0, , , , ,1,2,4,2,1,3,4,3,2,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,3,1,1,2,3,4,4,3,4,2,2,2,4,3,2,1,2,3,2,2,2,2,99999997,2,2,2,2,5,2,3,4,2,0,25000,1,1,5,31,2,1.02005122954622
297288551,5/3/2020,1,6,1,9,2, , , , , ,8, , , ,3,6,0, , , , ,1,2,3,4,1,7,5,4,2,1,1,0,0,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,1,1,1,2,2,2,4,5,4,3,4,3,2,3,2,3,2,3,3,4,5,5,4,2,2,2,1,3,1,2,4,2,0,25000,2,2,3,26,2,.362444097237027
297288552,5/3/2020,1,6,2,1,5, , , , , ,2, , , ,1,9,0, , , , ,4,3,4,1,1,4,5,8,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2,3,99999997,99999997,3,99999997,99999997,2,2,2,99999997,99999997,99999997,2,3,99999997,99999997,2,2,2,2,2,2,2,2,2,4,4,3,3,7,0,15000,2,1,99999997,63,5,.877249468213647
297288553,5/3/2020,1,6,1,9,2, , , , , ,3, , , ,2,5,0, , , , ,1,3,2,2,1,4,5,4,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,2,1,1,2,2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,1,1,1,2,0,4000,2,3,4,35,3,.491930557162468
297288554,5/3/2020,1,6,2,15,2, , , , , ,6, , , ,3,1,0, , , , ,1,2,2,4,3,2,1,2,1,1,1,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,0,0,1,0,0,0,1,1,1,1,5,4,4,3,4,4,4,4,3,2,2,2,2,2,3,2,3,3,2,2,4,4,3,3,3,2,2,3,0,7500,2,3,3,34,2,.839789048190021
297288555,5/3/2020,1,6,2,9,2, , , , , ,5, , , ,2,2,0, , , , ,1,2,4,1,3,3,4,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,99999997,2,1,99999997,99999997,99999997,99999997,5,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,99999997,2,3,3,2,3,0,7500,3,1,4,54,4,.939831107587635
297288556,5/3/2020,1,6,2,7,1, , , , , ,5, , , ,2,2,0, , , , ,1,1,4,1,1,1,1,8,5,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,1,99999997,3,99999997,1,1,2,1,3,4,99999997,5,2,1,99999997,5,99999997,99999997,3,2,99999997,3,5,2,2,5,3,3,9, , , ,2,1,2,54,4,1.20110218896376
